Country,Year,Arabica Production,Bean Exports,Bean Imports,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Soluble Exports,Soluble Imports,Total Distribution,Total Supply,id
Albania,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALB
Algeria,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DZA
Angola,1990,20,80,0,186,45,161,80,0,0,100,0,0,80,45,0,0,0,286,286,AGO
Argentina,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARG
Armenia,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARM
Australia,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUS
Benin,1990,0,34,0,0,1,0,34,0,0,35,0,0,35,1,0,0,0,35,35,BEN
Bolivia,1990,190,85,0,94,45,154,85,0,0,190,0,0,0,45,0,0,0,284,284,BOL
Bosnia and Herzegovina,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BIH
Brazil,1990,26500,17040,0,19533,9000,22693,18840,0,0,31000,0,0,4500,8600,400,1800,0,50533,50533,BRA
Burundi,1990,500,500,0,480,1,496,500,0,0,517,0,0,17,1,0,0,0,997,997,BDI
Cameroon,1990,230,1853,80,417,30,44,1878,85,0,1450,25,0,1220,25,5,0,5,1952,1952,CMR
Canada,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAN
Central African Republic,1990,0,300,0,149,20,179,300,0,0,350,0,0,350,20,0,0,0,499,499,CAF
Chile,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHL
China,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN
Colombia,1990,14500,11854,0,5537,1615,6210,12212,0,0,14500,0,0,0,1400,215,358,0,20037,20037,COL
Congo (Brazzaville),1990,0,25,0,4,1,3,25,0,0,25,0,0,25,1,0,0,0,29,29,
Congo (Kinshasa),1990,295,1800,0,565,215,245,1800,0,0,1695,0,0,1400,215,0,0,0,2260,2260,
Costa Rica,1990,2565,2325,0,984,260,964,2325,0,0,2565,0,0,0,255,5,0,0,3549,3549,CRI
Cote d'Ivoire,1990,0,3874,0,4199,36,3290,4173,0,0,3300,2,0,3300,19,17,297,0,7499,7499,
Croatia,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HRV
Cuba,1990,480,225,15,176,250,196,225,15,0,480,0,0,0,250,0,0,0,671,671,CUB
Dominican Republic,1990,670,480,0,382,307,263,484,0,0,672,4,0,2,307,0,0,0,1054,1054,DOM
