Country,Year,Arabica Production,Bean Exports,Bean Imports,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Soluble Exports,Soluble Imports,Total Distribution,Total Supply,id
Albania,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALB
Algeria,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DZA
Angola,1987,20,205,0,110,45,130,205,0,0,270,0,0,250,45,0,0,0,380,380,AGO
Argentina,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARG
Armenia,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARM
Australia,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUS
Benin,1987,0,43,0,14,1,0,43,0,0,30,0,0,30,1,0,0,0,44,44,BEN
Bolivia,1987,160,112,0,66,42,72,112,0,0,160,0,0,0,42,0,0,0,226,226,BOL
Bosnia and Herzegovina,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BIH
Brazil,1987,34300,17225,0,8427,8000,19602,18825,0,0,38000,0,0,3700,7650,350,1600,0,46427,46427,BRA
Burundi,1987,609,537,0,88,1,175,537,0,0,625,0,0,16,1,0,0,0,713,713,BDI
Cameroon,1987,248,1561,0,1800,45,1430,1581,5,0,1251,20,0,1003,40,5,0,5,3056,3056,CMR
Canada,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAN
Central African Republic,1987,0,268,0,139,18,68,268,0,0,215,0,0,215,18,0,0,0,354,354,CAF
Chile,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHL
China,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN
Colombia,1987,13000,8998,0,7450,2020,9121,9309,0,0,13000,0,0,0,1870,150,311,0,20450,20450,COL
Congo (Brazzaville),1987,0,15,0,5,1,4,15,0,0,15,0,0,15,1,0,0,0,20,20,
Congo (Kinshasa),1987,220,1125,0,248,209,914,1125,0,0,2000,0,0,1780,209,0,0,0,2248,2248,
Costa Rica,1987,2375,2008,0,855,235,953,2042,0,0,2375,34,0,0,230,5,0,0,3230,3230,CRI
Cote d'Ivoire,1987,0,3381,0,2877,32,2371,3577,0,0,3103,2,0,3103,20,12,194,0,5980,5980,
Croatia,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HRV
Cuba,1987,436,225,25,145,215,166,225,25,0,436,0,0,0,215,0,0,0,606,606,CUB
Dominican Republic,1987,835,512,0,602,310,617,512,0,0,837,0,0,2,310,0,0,0,1439,1439,DOM
Ecuador,1987,931,1643,0,715,282,300,1796,0,0,1663,32,0,732,235,47,121,0,2378,2378,ECU
Egypt,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EGY
El Salvador,1987,2538,1873,0,99,169,582,1886,0,0,2538,0,0,0,154,15,13,0,2637,2637,SLV
Equatorial Guinea,1987,0,11,0,7,6,8,11,0,7,18,0,0,11,6,0,0,0,25,25,GNQ
Ethiopia,1987,3200,1385,0,1472,1477,1810,1385,0,0,3200,0,0,0,1477,0,0,0,4672,4672,ETH
European Union,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gabon,1987,0,29,0,1,1,1,29,0,0,30,0,0,30,1,0,0,0,31,31,GAB
Georgia,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GEO
Ghana,1987,0,10,0,6,7,3,10,0,0,14,0,0,14,7,0,0,0,20,20,GHA
Guatemala,1987,3020,2222,0,45,300,543,2222,0,0,3020,0,0,0,275,25,0,0,3065,3065,GTM
Guinea,1987,0,90,0,9,6,8,90,0,0,95,0,0,95,6,0,0,0,104,104,GIN
Guyana,1987,0,0,0,0,4,0,0,0,2,4,0,0,2,4,0,0,0,4,4,GUY
Haiti,1987,526,270,0,20,240,36,270,0,0,526,0,0,0,240,0,0,0,546,546,HTI
Honduras,1987,1553,1224,0,88,200,217,1224,0,0,1553,0,0,0,200,0,0,0,1641,1641,HND
India,1987,1080,1350,0,1910,1245,1320,1395,0,0,2050,0,0,970,1190,55,45,0,3960,3960,IND
Indonesia,1987,405,4442,0,1350,1050,1825,4442,2,0,5965,0,2,5560,1030,20,0,0,7317,7317,IDN
Iran,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRN
Jamaica,1987,41,19,0,2,14,8,21,0,0,41,2,0,0,14,0,0,0,43,43,JAM
Jordan,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR
Kazakhstan,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KAZ
Kenya,1987,2159,1315,0,650,175,1320,1315,0,0,2160,0,0,1,175,0,0,0,2810,2810,KEN
"Korea, South",1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kosovo,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Laos,1987,85,84,0,0,1,0,84,0,0,85,0,0,0,1,0,0,0,85,85,LAO
Liberia,1987,0,54,0,0,6,0,54,0,5,60,0,0,55,6,0,0,0,60,60,LBR
Madagascar,1987,46,829,0,441,217,520,829,0,0,1125,0,0,1079,217,0,0,0,1566,1566,MDG
Malawi,1987,83,82,0,0,0,1,82,0,0,83,0,0,0,0,0,0,0,83,83,MWI
Malaysia,1987,0,15,110,59,198,49,20,130,73,78,1,5,5,198,0,4,15,267,267,MYS
Mexico,1987,4617,2312,0,610,1580,1194,2553,0,0,4717,241,0,100,920,660,0,0,5327,5327,MEX
Montenegro,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MNE
Morocco,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAR
New Caledonia,1987,1,0,0,0,6,0,0,0,0,6,0,0,5,6,0,0,0,6,6,NCL
