Country,Year,Arabica Production,Bean Exports,Bean Imports,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Soluble Exports,Soluble Imports,Total Distribution,Total Supply,id
Albania,2010,0,0,85,0,85,0,0,85,0,0,0,0,0,85,0,0,0,85,85,ALB
Algeria,2010,0,0,1770,0,1815,0,0,1815,0,0,0,0,0,1770,45,0,45,1815,1815,DZA
Angola,2010,0,5,0,11,26,5,5,0,0,25,0,0,25,26,0,0,0,36,36,AGO
Argentina,2010,0,0,510,0,810,0,0,810,0,0,0,10,0,520,290,0,290,810,810,ARG
Armenia,2010,0,0,190,0,190,0,0,190,0,0,0,0,0,190,0,0,0,190,190,ARM
Australia,2010,0,0,1110,0,1445,0,0,1445,0,0,0,60,0,1170,275,0,275,1445,1445,AUS
Benin,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEN
Bolivia,2010,125,66,0,35,75,19,66,0,0,125,0,0,0,75,0,0,0,160,160,BOL
Bosnia and Herzegovina,2010,0,0,300,0,300,0,0,300,0,0,0,0,0,300,0,0,0,300,300,BIH
Brazil,2010,41800,31810,0,2836,19420,2906,35010,0,0,54500,60,0,12700,18330,1090,3140,0,57336,57336,BRA
Burundi,2010,235,235,0,23,8,15,235,0,0,235,0,0,0,8,0,0,0,258,258,BDI
Cameroon,2010,90,650,0,44,75,34,650,0,0,715,0,0,625,70,5,0,0,759,759,CMR
Canada,2010,0,0,2305,0,4245,0,0,4245,0,0,0,870,0,3175,1070,0,1070,4245,4245,CAN
Central African Republic,2010,0,22,0,112,30,87,22,0,0,27,0,0,27,30,0,0,0,139,139,CAF
Chile,2010,0,0,200,0,200,0,0,200,0,0,0,0,0,200,0,0,0,200,200,CHL
China,2010,827,537,681,0,1106,0,705,984,0,827,12,58,0,806,300,156,245,1811,1811,CHN
Colombia,2010,8525,7400,760,284,1120,99,8385,795,0,8525,50,0,0,820,300,935,35,9604,9604,COL
Congo (Brazzaville),2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Congo (Kinshasa),2010,100,75,0,34,200,24,75,0,0,265,0,0,165,200,0,0,0,299,299,
Costa Rica,2010,1575,1255,175,125,433,200,1264,197,0,1575,9,0,0,411,22,0,22,1897,1897,CRI
Cote d'Ivoire,2010,0,725,0,93,300,408,985,0,0,1600,0,0,1600,300,0,260,0,1693,1693,
Croatia,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HRV
Cuba,2010,120,5,0,0,115,0,5,0,0,120,0,0,0,115,0,0,0,120,120,CUB
Dominican Republic,2010,500,48,0,0,452,0,48,0,0,500,0,0,0,452,0,0,0,500,500,DOM
Ecuador,2010,400,425,820,65,205,143,1250,883,0,650,0,3,250,15,190,825,60,1598,1598,ECU
Egypt,2010,0,0,250,0,250,0,0,250,0,0,0,0,0,250,0,0,0,250,250,EGY
El Salvador,2010,1860,1750,10,48,347,13,1752,204,0,1860,2,14,0,167,180,0,180,2112,2112,SLV
Equatorial Guinea,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GNQ
Ethiopia,2010,6125,3235,0,70,2860,100,3235,0,0,6125,0,0,0,2860,0,0,0,6195,6195,ETH
European Union,2010,0,0,44610,10850,41350,12900,1210,44610,0,0,880,0,0,39390,1960,330,0,55460,55460,
Gabon,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GAB
Georgia,2010,0,0,55,0,55,0,0,55,0,0,0,0,0,55,0,0,0,55,55,GEO
