Country,Year,Arabica Production,Bean Exports,Bean Imports,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Soluble Exports,Soluble Imports,Total Distribution,Total Supply,id
Albania,2012,0,0,75,0,75,0,0,75,0,0,0,0,0,75,0,0,0,75,75,ALB
Algeria,2012,0,0,1915,0,1945,0,0,1945,0,0,0,0,0,1915,30,0,30,1945,1945,DZA
Angola,2012,0,8,0,2,22,1,8,0,0,29,0,0,29,22,0,0,0,31,31,AGO
Argentina,2012,0,0,565,0,835,0,0,835,0,0,0,10,0,575,260,0,260,835,835,ARG
Armenia,2012,0,0,140,0,140,0,0,140,0,0,0,0,0,140,0,0,0,140,140,ARM
Australia,2012,0,0,1180,0,1660,0,0,1660,0,0,0,170,0,1350,310,0,310,1660,1660,AUS
Benin,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEN
Bolivia,2012,115,56,0,4,59,4,56,0,0,115,0,0,0,59,0,0,0,119,119,BOL
Bosnia and Herzegovina,2012,0,0,340,0,340,0,0,340,0,0,0,0,0,340,0,0,0,340,340,BIH
Brazil,2012,42100,27143,0,2238,20110,9068,30660,0,0,57600,31,0,15500,19000,1110,3486,0,59838,59838,BRA
Burundi,2012,235,240,0,15,5,5,240,0,0,235,0,0,0,5,0,0,0,250,250,BDI
Cameroon,2012,50,470,0,24,65,24,470,0,0,535,0,0,485,60,5,0,0,559,559,CMR
Canada,2012,0,0,2330,0,4230,0,0,4230,0,0,0,675,0,3005,1225,0,1225,4230,4230,CAN
Central African Republic,2012,0,2,0,60,35,30,2,0,0,7,0,0,7,35,0,0,0,67,67,CAF
Chile,2012,0,0,250,0,250,0,0,250,0,0,0,0,0,250,0,0,0,250,250,CHL
China,2012,1535,1236,930,0,1628,0,1468,1561,0,1535,54,79,0,1000,628,178,552,3096,3096,CHN
Colombia,2012,9927,8100,590,249,1200,771,8855,650,0,9927,85,0,0,900,300,670,60,10826,10826,COL
Congo (Brazzaville),2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Congo (Kinshasa),2012,80,59,0,10,171,10,59,0,0,230,0,0,150,171,0,0,0,240,240,
Costa Rica,2012,1675,1400,20,240,369,190,1411,55,0,1675,11,11,0,345,24,0,24,1970,1970,CRI
Cote d'Ivoire,2012,0,1340,0,88,108,50,1680,0,0,1750,0,0,1750,108,0,340,0,1838,1838,
Croatia,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HRV
Cuba,2012,125,13,0,0,112,0,13,0,0,125,0,0,0,112,0,0,0,125,125,CUB
Dominican Republic,2012,475,36,0,0,439,0,36,0,0,475,0,0,0,439,0,0,0,475,475,DOM
Ecuador,2012,315,450,1350,209,260,309,1525,1420,0,465,0,0,150,35,225,1075,70,2094,2094,ECU
Egypt,2012,0,0,450,0,450,0,0,450,0,0,0,0,0,450,0,0,0,450,450,EGY
El Salvador,2012,1250,1185,0,18,235,18,1185,170,0,1250,0,10,0,75,160,0,160,1438,1438,SLV
Equatorial Guinea,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GNQ
Ethiopia,2012,6500,3500,0,230,3130,100,3500,0,0,6500,0,0,0,3130,0,0,0,6730,6730,ETH
European Union,2012,0,0,45070,10400,43275,10845,1350,45070,0,0,1070,0,0,40930,2345,280,0,55470,55470,
Gabon,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GAB
Georgia,2012,0,0,60,0,60,0,0,60,0,0,0,0,0,60,0,0,0,60,60,GEO
Ghana,2012,0,25,0,2,1,6,25,0,0,30,0,0,30,1,0,0,0,32,32,GHA
Guatemala,2012,4000,3750,0,387,600,212,3770,185,0,4010,0,0,10,400,200,20,185,4582,4582,GTM
Guinea,2012,0,143,0,12,25,9,143,0,0,165,0,0,165,25,0,0,0,177,177,GIN
Guyana,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUY
Haiti,2012,325,7,0,25,328,15,7,0,0,325,0,0,0,328,0,0,0,350,350,HTI
Honduras,2012,4725,4480,0,90,210,140,4480,15,0,4725,0,0,0,195,15,0,15,4830,4830,HND
India,2012,1643,3420,1130,1473,1100,1982,4858,1164,0,5303,3,3,3660,750,350,1435,31,7940,7940,IND
Indonesia,2012,2000,8290,470,88,2815,98,10325,1250,0,11900,35,150,9900,2170,645,2000,630,13238,13238,IDN
Iran,2012,0,0,40,0,200,0,0,200,0,0,0,0,0,40,160,0,160,200,200,IRN
Jamaica,2012,25,20,0,0,5,0,20,0,0,25,0,0,0,5,0,0,0,25,25,JAM
Jordan,2012,0,0,370,0,570,0,0,570,0,0,0,0,0,370,200,0,200,570,570,JOR
Kazakhstan,2012,0,0,0,0,175,0,0,175,0,0,0,0,0,0,175,0,175,175,175,KAZ
Kenya,2012,660,825,0,337,37,155,825,20,0,660,0,0,0,17,20,0,20,1017,1017,KEN
"Korea, South",2012,0,0,1715,0,1825,0,0,1825,0,0,0,110,0,1825,0,0,0,1825,1825,
Kosovo,2012,0,0,125,0,125,0,0,125,0,0,0,0,0,125,0,0,0,125,125,
Laos,2012,0,360,0,0,100,0,360,0,0,460,0,0,460,100,0,0,0,460,460,LAO
Liberia,2012,0,5,0,0,0,0,5,0,0,5,0,0,5,0,0,0,0,5,5,LBR
Madagascar,2012,25,100,0,7,425,7,100,0,0,525,0,0,500,425,0,0,0,532,532,MDG
Malawi,2012,25,24,0,0,1,0,24,0,0,25,0,0,0,1,0,0,0,25,25,MWI
Malaysia,2012,0,0,1375,0,625,0,2150,1375,0,1400,0,0,1400,0,625,2150,0,2775,2775,MYS
Mexico,2012,4450,2575,850,62,2170,61,3616,1135,0,4650,126,55,200,710,1460,915,230,5847,5847,MEX
Montenegro,2012,0,0,70,0,70,0,0,70,0,0,0,0,0,70,0,0,0,70,70,MNE
Morocco,2012,0,0,690,0,705,0,0,705,0,0,0,15,0,705,0,0,0,705,705,MAR
New Caledonia,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NCL
New Zealand,2012,0,0,175,0,305,0,0,305,0,0,0,15,0,190,115,0,115,305,305,NZL
Nicaragua,2012,1925,1950,20,252,105,17,2085,30,0,1925,15,0,0,95,10,120,10,2207,2207,NIC
Nigeria,2012,0,1,0,0,29,0,1,0,0,30,0,0,30,27,2,0,0,30,30,NGA
North Macedonia,2012,0,0,120,0,120,0,0,120,0,0,0,0,0,120,0,0,0,120,120,MKD
Norway,2012,0,0,550,0,740,0,0,740,0,0,0,110,0,660,80,0,80,740,740,NOR
Panama,2012,100,27,10,0,78,0,42,20,0,100,15,0,0,68,10,0,10,120,120,PAN
Papua New Guinea,2012,775,775,0,31,45,36,775,0,0,825,0,0,50,45,0,0,0,856,856,PNG
Paraguay,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRY
Peru,2012,4300,4100,0,14,170,44,4100,0,0,4300,0,0,0,10,160,0,0,4314,4314,PER
Philippines,2012,30,0,480,165,4405,95,0,3880,0,455,0,0,425,100,4305,0,3400,4500,4500,PHL
Russia,2012,0,0,2050,0,4130,0,0,4130,0,0,0,180,0,2230,1900,0,1900,4130,4130,
Rwanda,2012,260,260,0,0,0,0,260,0,0,260,0,0,0,0,0,0,0,260,260,RWA
Saudi Arabia,2012,0,0,615,0,635,0,0,635,0,0,0,20,0,635,0,0,0,635,635,SAU
Senegal,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEN
Serbia,2012,0,0,520,0,740,0,0,740,0,0,0,0,0,520,220,0,220,740,740,SRB
Sierra Leone,2012,0,50,0,0,20,0,50,0,0,70,0,0,70,20,0,0,0,70,70,SLE
Singapore,2012,0,0,115,0,115,0,0,115,0,0,0,0,0,115,0,0,0,115,115,SGP
South Africa,2012,0,0,335,0,545,0,0,545,0,0,0,0,0,335,210,0,210,545,545,ZAF
Sri Lanka,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LKA
Switzerland,2012,0,0,2310,0,1500,0,810,2310,0,0,810,0,0,1500,0,0,0,2310,2310,CHE
Taiwan,2012,0,0,310,0,365,0,0,365,0,0,0,55,0,365,0,0,0,365,365,TWN
Tanzania,2012,610,915,0,45,50,255,920,0,0,1180,0,0,570,50,0,5,0,1225,1225,TZA
Thailand,2012,0,0,1200,0,510,0,1700,1210,0,1000,0,10,1000,225,285,1700,0,2210,2210,THA
Togo,2012,0,200,0,0,0,0,200,0,0,200,0,0,200,0,0,0,0,200,200,TGO
Trinidad and Tobago,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TTO
Turkey,2012,0,0,460,0,490,0,0,490,0,0,0,30,0,490,0,0,0,490,490,
Uganda,2012,800,3575,0,538,200,363,3575,0,0,3600,0,0,2800,200,0,0,0,4138,4138,UGA
Ukraine,2012,0,0,130,0,1255,0,0,1255,0,0,0,340,0,470,785,0,785,1255,1255,UKR
United Kingdom,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GBR
United States,2012,42,0,23360,5100,23027,5450,365,23700,0,42,365,0,0,22687,340,0,340,28842,28842,USA
Uruguay,2012,0,0,20,0,20,0,0,20,0,0,0,0,0,20,0,0,0,20,20,URY
Venezuela,2012,730,80,600,103,1290,69,80,606,0,730,0,1,0,1285,5,0,5,1439,1439,VEN
Vietnam,2012,900,23783,642,1090,1825,1946,24643,824,0,26500,110,22,25600,1625,200,750,160,28414,28414,VNM
Yemen,2012,140,15,0,0,125,0,15,0,0,140,0,0,0,125,0,0,0,140,140,YEM
Yemen (Sanaa),2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Zambia,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZMB
Zimbabwe,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZWE
