Country,Year,Arabica Production,Bean Exports,Bean Imports,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Soluble Exports,Soluble Imports,Total Distribution,Total Supply,id
Albania,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALB
Algeria,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DZA
Angola,1979,20,1012,0,2708,40,1916,1012,0,0,260,0,0,240,40,0,0,0,2968,2968,AGO
Argentina,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARG
Armenia,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARM
Australia,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUS
Benin,1979,0,4,0,0,1,0,4,0,0,5,0,0,5,1,0,0,0,5,5,BEN
Bolivia,1979,129,115,0,37,34,17,115,0,0,129,0,0,0,34,0,0,0,166,166,BOL
Bosnia and Herzegovina,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BIH
Brazil,1979,20900,12000,0,8430,8000,8430,14000,0,0,22000,0,0,1100,7830,170,2000,0,30430,30430,BRA
Burundi,1979,441,464,0,0,1,1,464,0,0,466,0,0,25,1,0,0,0,466,466,BDI
Cameroon,1979,458,1600,0,705,32,732,1600,1,0,1658,0,0,1200,29,3,0,1,2364,2364,CMR
Canada,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAN
Central African Republic,1979,0,198,0,5,14,23,198,0,0,230,0,0,230,14,0,0,0,235,235,CAF
Chile,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHL
China,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN
Colombia,1979,12712,11850,0,4875,1750,3895,11942,0,0,12712,0,0,0,1653,97,92,0,17587,17587,COL
Congo (Brazzaville),1979,0,64,0,28,1,6,64,0,0,43,0,0,43,1,0,0,0,71,71,
Congo (Kinshasa),1979,265,1163,0,499,175,477,1163,0,0,1316,0,0,1051,175,0,0,0,1815,1815,
Costa Rica,1979,1522,1320,2,109,211,97,1325,2,0,1522,5,0,0,211,0,0,0,1633,1633,CRI
Cote d'Ivoire,1979,0,3086,0,642,19,1320,3276,0,0,3973,5,0,3973,8,11,185,0,4615,4615,
Croatia,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HRV
Cuba,1979,372,182,213,48,400,51,182,213,0,372,0,0,0,400,0,0,0,633,633,CUB
Dominican Republic,1979,1020,574,0,46,285,116,665,0,0,1020,91,0,0,285,0,0,0,1066,1066,DOM
Ecuador,1979,1179,1211,0,289,211,305,1382,0,0,1609,1,0,430,173,38,170,0,1898,1898,ECU
Egypt,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EGY
El Salvador,1979,3322,2859,0,521,200,739,2904,0,0,3322,0,0,0,180,20,45,0,3843,3843,SLV
Equatorial Guinea,1979,0,0,0,3,8,5,0,0,5,10,0,0,5,8,0,0,0,13,13,GNQ
Ethiopia,1979,3188,1310,0,604,1633,849,1310,0,0,3188,0,0,0,1633,0,0,0,3792,3792,ETH
European Union,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gabon,1979,0,7,0,1,1,1,7,0,0,8,0,0,8,1,0,0,0,9,9,GAB
Georgia,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GEO
Ghana,1979,0,18,0,17,8,26,18,0,0,35,0,0,35,8,0,0,0,52,52,GHA
Guatemala,1979,2647,2140,0,92,311,279,2149,0,0,2647,0,0,0,290,21,9,0,2739,2739,GTM
Guinea,1979,0,75,0,42,6,9,75,0,0,48,0,0,48,6,0,0,0,90,90,GIN
Guyana,1979,0,2,0,0,20,0,2,0,14,22,0,0,8,20,0,0,0,22,22,GUY
Haiti,1979,669,430,0,21,220,40,430,0,0,669,0,0,0,220,0,0,0,690,690,HTI
Honduras,1979,1137,980,0,38,114,81,980,0,0,1137,0,0,0,114,0,0,0,1175,1175,HND
India,1979,1189,1007,0,657,896,1196,1060,0,0,2495,0,0,1306,868,28,53,0,3152,3152,IND
Indonesia,1979,229,3759,2,432,1080,398,3759,2,0,4803,0,0,4574,1080,0,0,0,5237,5237,IDN
Iran,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRN
Jamaica,1979,34,15,0,3,12,9,17,1,0,34,0,1,0,11,1,2,0,38,38,JAM
Jordan,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR
Kazakhstan,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KAZ
Kenya,1979,1531,1272,0,373,63,569,1272,0,0,1531,0,0,0,63,0,0,0,1904,1904,KEN
"Korea, South",1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kosovo,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Laos,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAO
Liberia,1979,0,182,0,27,6,15,182,5,6,171,0,4,165,5,1,0,1,203,203,LBR
Madagascar,1979,54,998,0,291,185,421,998,0,0,1313,0,0,1259,185,0,0,0,1604,1604,MDG
Malawi,1979,5,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5,5,MWI
Malaysia,1979,0,28,35,2,158,18,30,106,93,98,1,4,5,158,0,1,67,206,206,MYS
Mexico,1979,3540,2100,0,500,1290,520,2290,0,0,3600,120,0,60,720,570,70,0,4100,4100,MEX
Montenegro,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MNE
Morocco,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAR
New Caledonia,1979,1,0,0,0,10,0,0,0,0,10,0,0,9,10,0,0,0,10,10,NCL
New Zealand,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NZL
Nicaragua,1979,1019,794,0,19,83,120,835,0,0,1019,0,0,0,73,10,41,0,1038,1038,NIC
Nigeria,1979,0,12,0,20,169,27,12,148,0,40,0,141,40,162,7,0,7,208,208,NGA
North Macedonia,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MKD
Norway,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOR
Panama,1979,105,50,8,17,66,14,50,8,0,105,0,0,0,66,0,0,0,130,130,PAN
