Country,Year,Arabica Production,Bean Exports,Bean Imports,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Soluble Exports,Soluble Imports,Total Distribution,Total Supply,id
Albania,2009,0,0,75,0,75,0,0,75,0,0,0,0,0,75,0,0,0,75,75,ALB
Algeria,2009,0,0,2060,0,2080,0,0,2080,0,0,0,0,0,2060,20,0,20,2080,2080,DZA
Angola,2009,0,8,0,20,31,11,8,0,0,30,0,0,30,31,0,0,0,50,50,AGO
Argentina,2009,0,0,500,0,745,0,0,745,0,0,0,5,0,505,240,0,240,745,745,ARG
Armenia,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARM
Australia,2009,0,0,1035,0,1395,0,0,1395,0,0,0,70,0,1105,290,0,290,1395,1395,AUS
Benin,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEN
Bolivia,2009,140,74,0,44,75,35,74,0,0,140,0,0,0,75,0,0,0,184,184,BOL
Bosnia and Herzegovina,2009,0,0,285,0,285,0,0,285,0,0,0,0,0,285,0,0,0,285,285,BIH
Brazil,2009,33000,26580,0,6576,18760,2836,29780,0,0,44800,80,0,11800,17720,1040,3120,0,51376,51376,BRA
Burundi,2009,300,290,0,18,5,23,290,0,0,300,0,0,0,5,0,0,0,318,318,BDI
Cameroon,2009,90,690,0,219,75,44,690,0,0,590,0,0,500,70,5,0,0,809,809,CMR
Canada,2009,0,0,2010,0,4085,0,0,4085,0,0,0,915,0,2925,1160,0,1160,4085,4085,CAN
Central African Republic,2009,0,25,0,137,30,112,25,0,0,30,0,0,30,30,0,0,0,167,167,CAF
Chile,2009,0,0,230,0,230,0,0,230,0,0,0,0,0,230,0,0,0,230,230,CHL
China,2009,1173,565,426,0,1135,0,696,658,0,1173,10,48,0,910,225,121,184,1831,1831,CHN
Colombia,2009,8100,6445,570,209,1180,284,7435,590,0,8100,65,0,0,880,300,925,20,8899,8899,COL
Congo (Brazzaville),2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Congo (Kinshasa),2009,105,102,0,31,200,34,102,0,0,305,0,0,200,200,0,0,0,336,336,
Costa Rica,2009,1475,1200,130,26,306,125,1217,147,0,1475,14,0,0,289,17,3,17,1648,1648,CRI
Cote d'Ivoire,2009,0,1755,0,88,300,93,2045,0,0,2350,0,0,2350,300,0,290,0,2438,2438,
Croatia,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HRV
Cuba,2009,120,7,0,0,113,0,7,0,0,120,0,0,0,113,0,0,0,120,120,CUB
Dominican Republic,2009,500,36,0,0,464,0,36,0,0,500,0,0,0,464,0,0,0,500,500,DOM
Ecuador,2009,400,450,650,7,159,65,1200,732,0,685,10,3,285,9,150,740,79,1424,1424,ECU
Egypt,2009,0,0,150,0,150,0,0,150,0,0,0,0,0,150,0,0,0,150,150,EGY
El Salvador,2009,1300,1236,0,32,181,48,1240,137,0,1300,4,12,0,56,125,0,125,1469,1469,SLV
Equatorial Guinea,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GNQ
Ethiopia,2009,6000,3250,0,120,2800,70,3250,0,0,6000,0,0,0,2800,0,0,0,6120,6120,ETH
European Union,2009,0,0,44525,16325,49070,10850,930,44525,0,0,890,0,0,47010,2060,40,0,60850,60850,
Gabon,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GAB
Georgia,2009,0,0,55,0,55,0,0,55,0,0,0,0,0,55,0,0,0,55,55,GEO
Ghana,2009,0,30,0,5,1,4,30,0,0,30,0,0,30,1,0,0,0,35,35,GHA
Guatemala,2009,4000,3860,60,222,340,227,3890,225,0,4010,0,0,10,175,165,30,165,4457,4457,GTM
Guinea,2009,0,410,0,12,40,7,410,0,0,445,0,0,445,40,0,0,0,457,457,GIN
Guyana,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUY
Haiti,2009,275,10,0,44,284,25,10,0,0,275,0,0,0,284,0,0,0,319,319,HTI
Honduras,2009,3550,3200,0,50,200,218,3200,18,0,3550,0,8,0,190,10,0,10,3618,3618,HND
India,2009,1575,3040,725,2568,1220,2633,4265,725,0,4825,0,0,3250,1010,210,1225,0,8118,8118,IND
Indonesia,2009,1500,7425,425,1208,1925,1603,8750,570,0,10500,0,0,9000,1625,300,1325,145,12278,12278,IDN
Iran,2009,0,0,115,0,325,0,0,325,0,0,0,0,0,115,210,0,210,325,325,IRN
Jamaica,2009,28,23,0,0,5,0,23,0,0,28,0,0,0,5,0,0,0,28,28,JAM
Jordan,2009,0,0,220,0,330,0,0,330,0,0,0,0,0,220,110,0,110,330,330,JOR
Kazakhstan,2009,0,0,0,0,270,0,0,270,0,0,0,0,0,0,270,0,270,270,270,KAZ
Kenya,2009,900,740,0,252,20,392,740,0,0,900,0,0,0,20,0,0,0,1152,1152,KEN
"Korea, South",2009,0,0,1665,0,1740,0,0,1740,0,0,0,75,0,1740,0,0,0,1740,1740,
Kosovo,2009,0,0,35,0,35,0,0,35,0,0,0,0,0,35,0,0,0,35,35,
Laos,2009,0,290,0,0,100,0,290,0,0,390,0,0,390,100,0,0,0,390,390,LAO
Liberia,2009,0,2,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,2,LBR
Madagascar,2009,25,40,0,37,450,22,40,0,0,475,0,0,450,450,0,0,0,512,512,MDG
Malawi,2009,20,19,0,0,1,0,19,0,0,20,0,0,0,1,0,0,0,20,20,MWI
Malaysia,2009,0,0,940,0,480,0,1460,940,0,1000,0,0,1000,0,480,1460,0,1940,1940,MYS
Mexico,2009,3950,1790,690,109,2500,124,2480,845,0,4150,0,20,200,800,1700,690,135,5104,5104,MEX
Montenegro,2009,0,0,210,0,210,0,0,210,0,0,0,0,0,210,0,0,0,210,210,MNE
Morocco,2009,0,0,580,0,590,0,0,590,0,0,0,10,0,590,0,0,0,590,590,MAR
New Caledonia,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NCL
New Zealand,2009,0,0,160,0,290,0,0,290,0,0,0,5,0,165,125,0,125,290,290,NZL
Nicaragua,2009,1925,1650,35,8,130,37,1816,50,0,1925,10,0,0,115,15,156,15,1983,1983,NIC
Nigeria,2009,0,3,0,0,27,0,3,0,0,30,0,0,30,22,5,0,0,30,30,NGA
North Macedonia,2009,0,0,110,0,110,0,0,110,0,0,0,0,0,110,0,0,0,110,110,MKD
Norway,2009,0,0,580,0,745,0,0,745,0,0,0,75,0,655,90,0,90,745,745,NOR
Panama,2009,100,53,0,0,52,0,53,5,0,100,0,0,0,47,5,0,5,105,105,PAN
Papua New Guinea,2009,1050,1040,0,21,30,36,1040,0,0,1085,0,0,35,30,0,0,0,1106,1106,PNG
