Country,Year,Arabica Production,Bean Exports,Bean Imports,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Soluble Exports,Soluble Imports,Total Distribution,Total Supply,id
Albania,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALB
Algeria,2004,0,0,1920,0,1930,0,0,1930,0,0,0,0,0,1920,10,0,10,1930,1930,DZA
Angola,2004,0,5,0,40,20,30,5,0,0,15,0,0,15,20,0,0,0,55,55,AGO
Argentina,2004,0,0,500,0,666,0,0,666,0,0,0,1,0,501,165,0,165,666,666,ARG
Armenia,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARM
Australia,2004,0,0,790,0,1010,0,0,1010,0,0,0,50,0,840,170,0,170,1010,1010,AUS
Benin,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEN
Bolivia,2004,165,114,0,150,80,121,114,0,0,165,0,0,0,80,0,0,0,315,315,BOL
Bosnia and Herzegovina,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BIH
Brazil,2004,34300,24505,0,11819,15500,11999,27920,0,0,43600,45,0,9300,14700,800,3370,0,55419,55419,BRA
Burundi,2004,337,350,0,282,2,267,350,0,0,337,0,0,0,2,0,0,0,619,619,BDI
Cameroon,2004,90,763,0,145,75,34,763,0,0,727,0,0,637,70,5,0,0,872,872,CMR
Canada,2004,0,0,2140,0,3065,0,0,3065,0,0,0,750,0,2890,175,0,175,3065,3065,CAN
Central African Republic,2004,0,20,0,258,25,233,20,0,0,20,0,0,20,25,0,0,0,278,278,CAF
Chile,2004,0,0,240,0,240,0,0,240,0,0,0,0,0,240,0,0,0,240,240,CHL
China,2004,361,175,235,0,222,0,439,300,0,361,7,21,0,178,44,257,44,661,661,CHN
Colombia,2004,11532,10625,420,1131,1230,478,11405,450,0,11532,20,30,0,970,260,760,0,13113,13113,COL
Congo (Brazzaville),2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Congo (Kinshasa),2004,58,127,0,127,200,60,127,0,0,260,0,0,202,200,0,0,0,387,387,
Costa Rica,2004,1907,1542,2,200,368,200,1552,13,0,1907,9,3,0,360,8,1,8,2120,2120,CRI
Cote d'Ivoire,2004,0,1190,0,267,300,378,1390,0,0,1801,0,0,1801,300,0,200,0,2068,2068,
Croatia,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HRV
Cuba,2004,154,23,0,132,200,63,23,0,0,154,0,0,0,200,0,0,0,286,286,CUB
Dominican Republic,2004,491,36,0,5,460,0,36,0,0,491,0,0,0,460,0,0,0,496,496,DOM
Ecuador,2004,398,230,1,34,140,3,712,88,0,733,1,0,335,5,135,481,87,855,855,ECU
Egypt,2004,0,0,75,0,75,0,0,75,0,0,0,0,0,75,0,0,0,75,75,EGY
El Salvador,2004,1329,1250,28,5,202,5,1253,126,0,1329,1,3,0,107,95,2,95,1460,1460,SLV
Equatorial Guinea,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GNQ
Ethiopia,2004,4068,2250,0,303,1825,296,2250,0,0,4068,0,0,0,1825,0,0,0,4371,4371,ETH
European Union,2004,0,0,41300,13000,39120,13810,1370,41300,0,0,890,0,0,37295,1825,480,0,54300,54300,
Gabon,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GAB
Georgia,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GEO
Ghana,2004,0,12,0,5,1,5,12,0,0,13,0,0,13,1,0,0,0,18,18,GHA
Guatemala,2004,3802,3451,0,20,460,36,3451,110,0,3817,0,0,15,350,110,0,110,3947,3947,GTM
Guinea,2004,0,325,0,86,50,27,325,0,0,316,0,0,316,50,0,0,0,402,402,GIN
Guyana,2004,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,2,GUY
Haiti,2004,340,17,0,139,340,122,17,0,0,340,0,0,0,340,0,0,0,479,479,HTI
Honduras,2004,2575,2450,0,100,210,25,2450,10,0,2575,0,0,0,200,10,0,10,2685,2685,HND
India,2004,1725,2335,690,829,1135,1672,3307,690,0,4595,0,0,2870,985,150,972,0,6114,6114,IND
Indonesia,2004,950,6400,35,113,1730,198,6760,125,0,8450,0,0,7500,1540,190,360,90,8688,8688,IDN
Iran,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRN
Jamaica,2004,21,25,0,17,13,0,25,0,0,21,0,0,0,13,0,0,0,38,38,JAM
Jordan,2004,0,0,175,0,210,0,0,210,0,0,0,0,0,175,35,0,35,210,210,JOR
Kazakhstan,2004,0,0,0,0,170,0,0,170,0,0,0,0,0,0,170,0,170,170,170,KAZ
Kenya,2004,754,670,0,250,50,286,670,0,0,756,0,0,2,50,0,0,0,1006,1006,KEN
"Korea, South",2004,0,0,1390,0,1410,0,0,1410,0,0,0,20,0,1410,0,0,0,1410,1410,
Kosovo,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Laos,2004,0,235,0,0,150,0,235,0,0,385,0,0,385,150,0,0,0,385,385,LAO
Liberia,2004,0,63,0,0,5,0,63,0,0,68,0,0,68,5,0,0,0,68,68,LBR
Madagascar,2004,25,100,0,301,475,248,100,0,0,522,0,0,497,475,0,0,0,823,823,MDG
Malawi,2004,21,20,0,1,1,1,20,0,0,21,0,0,0,1,0,0,0,22,22,MWI
Malaysia,2004,0,0,390,0,110,0,1280,390,0,1000,0,0,1000,0,110,1280,0,1390,1390,MYS
Mexico,2004,3900,1550,145,11,2000,234,1950,173,0,4000,0,28,100,1000,1000,400,0,4184,4184,MEX
Montenegro,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MNE
Morocco,2004,0,0,470,0,480,0,0,480,0,0,0,10,0,480,0,0,0,480,480,MAR
New Caledonia,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NCL
New Zealand,2004,0,0,110,0,260,0,0,260,0,0,0,20,0,130,130,0,130,260,260,NZL
Nicaragua,2004,1130,985,60,24,190,4,1040,80,0,1130,5,0,0,170,20,50,20,1234,1234,NIC
Nigeria,2004,0,1,0,33,45,27,1,5,0,35,0,0,35,40,5,0,5,73,73,NGA
North Macedonia,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MKD
Norway,2004,0,0,650,0,785,0,0,785,0,0,0,55,0,705,80,0,80,785,785,NOR
Panama,2004,90,93,0,29,26,0,93,0,0,90,0,0,0,26,0,0,0,119,119,PAN
Papua New Guinea,2004,950,980,0,21,25,16,980,0,0,1000,0,0,50,25,0,0,0,1021,1021,PNG
Paraguay,2004,26,10,0,68,35,49,10,0,0,26,0,0,0,35,0,0,0,94,94,PRY
Peru,2004,3550,3306,0,5,210,39,3306,0,0,3550,0,0,0,70,140,0,0,3555,3555,PER
Philippines,2004,35,4,400,101,1385,137,4,725,25,700,0,0,640,110,1275,0,325,1526,1526,PHL
Russia,2004,0,0,480,0,2570,0,0,2570,0,0,0,90,0,570,2000,0,2000,2570,2570,
Rwanda,2004,317,410,0,94,1,0,410,0,0,317,0,0,0,1,0,0,0,411,411,RWA
Saudi Arabia,2004,0,0,440,0,450,0,0,450,0,0,0,10,0,450,0,0,0,450,450,SAU
Senegal,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEN
Serbia,2004,0,0,630,0,660,0,0,660,0,0,0,0,0,630,30,0,30,660,660,SRB
Sierra Leone,2004,0,10,0,30,25,10,10,0,0,15,0,0,15,25,0,0,0,45,45,SLE
Singapore,2004,0,0,220,0,220,0,0,220,0,0,0,0,0,220,0,0,0,220,220,SGP
South Africa,2004,0,0,370,0,380,0,0,380,0,0,0,0,0,370,10,0,10,380,380,ZAF
Sri Lanka,2004,10,3,0,21,35,15,3,0,0,32,0,0,22,35,0,0,0,53,53,LKA
Switzerland,2004,0,0,1525,0,1435,0,90,1525,0,0,90,0,0,1435,0,0,0,1525,1525,CHE
Taiwan,2004,0,0,175,0,200,0,0,200,0,0,0,25,0,200,0,0,0,200,200,TWN
Tanzania,2004,570,660,0,109,19,490,670,0,0,1070,0,0,500,19,0,10,0,1179,1179,TZA
