Country,Year,Arabica Production,Bean Exports,Bean Imports,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Soluble Exports,Soluble Imports,Total Distribution,Total Supply,id
Albania,2013,0,0,90,0,90,0,0,90,0,0,0,0,0,90,0,0,0,90,90,ALB
Algeria,2013,0,0,2265,0,2300,0,0,2300,0,0,0,0,0,2275,25,0,35,2300,2300,DZA
Angola,2013,0,5,0,1,27,0,5,0,0,31,0,0,31,27,0,0,0,32,32,AGO
Argentina,2013,0,0,415,0,685,0,0,685,0,0,0,10,0,430,255,0,260,685,685,ARG
Armenia,2013,0,0,200,0,200,0,0,200,0,0,0,0,0,200,0,0,0,200,200,ARM
Australia,2013,0,0,1185,0,1615,0,0,1615,0,0,0,180,0,1365,250,0,250,1615,1615,AUS
Benin,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEN
Bolivia,2013,128,70,0,4,62,0,70,0,0,128,0,0,0,62,0,0,0,132,132,BOL
Bosnia and Herzegovina,2013,0,0,350,0,350,0,0,350,0,0,0,0,0,350,0,0,0,350,350,BIH
Brazil,2013,41800,30600,0,9068,20210,11946,34146,34,0,57200,30,34,15400,19130,1080,3516,0,66302,66302,BRA
Burundi,2013,185,180,0,5,5,5,180,0,0,185,0,0,0,5,0,0,0,190,190,BDI
Cameroon,2013,50,350,0,24,74,25,350,0,0,425,0,0,375,69,5,0,0,449,449,CMR
Canada,2013,0,0,2525,0,4605,0,0,4605,0,0,0,730,0,3255,1350,0,1350,4605,4605,CAN
Central African Republic,2013,0,1,0,30,20,15,1,0,0,6,0,0,6,20,0,0,0,36,36,CAF
Chile,2013,0,0,210,0,210,0,0,210,0,0,0,0,0,210,0,0,0,210,210,CHL
China,2013,1947,1015,910,0,2181,100,1348,1682,0,1947,81,93,0,1306,875,252,679,3629,3629,CHN
Colombia,2013,12075,10300,355,771,1300,961,11040,455,0,12075,80,0,0,1000,300,660,100,13301,13301,COL
Congo (Brazzaville),2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Congo (Kinshasa),2013,70,70,0,10,170,10,70,0,0,240,0,0,170,170,0,0,0,250,250,
Costa Rica,2013,1450,1225,170,190,455,130,1265,210,0,1450,40,12,0,427,28,0,28,1850,1850,CRI
Cote d'Ivoire,2013,0,1250,0,50,100,55,1570,0,0,1675,0,0,1675,100,0,320,0,1725,1725,
Croatia,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HRV
Cuba,2013,150,14,0,0,136,0,14,0,0,150,0,0,0,136,0,0,0,150,150,CUB
Dominican Republic,2013,275,23,0,0,252,0,23,0,0,275,0,0,0,252,0,0,0,275,275,DOM
