Country,Year,Arabica Production,Bean Exports,Bean Imports,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Soluble Exports,Soluble Imports,Total Distribution,Total Supply,id
Albania,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALB
Algeria,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DZA
Angola,1973,71,4135,0,5719,89,5042,4135,0,0,3547,0,0,3476,89,0,0,0,9266,9266,AGO
Argentina,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARG
Armenia,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARM
Australia,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUS
Benin,1973,0,22,0,6,1,6,22,0,0,23,0,0,23,1,0,0,0,29,29,BEN
Bolivia,1973,89,68,0,10,26,5,68,0,0,89,0,0,0,26,0,0,0,99,99,BOL
Bosnia and Herzegovina,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BIH
Brazil,1973,14300,15714,0,25888,7000,15551,17637,0,0,14300,15,0,0,6910,90,1908,0,40188,40188,BRA
Burundi,1973,344,371,0,18,1,5,371,0,0,359,0,0,15,1,0,0,0,377,377,BDI
Cameroon,1973,479,1798,0,818,26,547,1798,0,0,1553,0,0,1074,23,3,0,0,2371,2371,CMR
Canada,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAN
Central African Republic,1973,0,121,0,13,11,13,121,0,0,132,0,0,132,11,0,0,0,145,145,CAF
Chile,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHL
China,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN
Colombia,1973,7800,7811,0,4952,1440,3460,7852,0,0,7800,0,0,0,1377,63,41,0,12752,12752,COL
Congo (Brazzaville),1973,0,7,0,2,1,2,7,0,0,8,0,0,8,1,0,0,0,10,10,
Congo (Kinshasa),1973,237,1345,0,843,140,943,1345,0,0,1585,0,0,1348,140,0,0,0,2428,2428,
Costa Rica,1973,1539,1337,0,180,158,224,1337,0,0,1539,0,0,0,158,0,0,0,1719,1719,CRI
Cote d'Ivoire,1973,0,4375,0,2766,1180,1488,4466,0,0,4368,7,0,4368,1165,15,84,0,7134,7134,
Croatia,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HRV
Cuba,1973,500,205,250,53,500,98,205,250,0,500,0,0,0,500,0,0,0,803,803,CUB
Dominican Republic,1973,853,527,0,125,290,85,603,0,0,853,76,0,0,290,0,0,0,978,978,DOM
Ecuador,1973,1202,993,0,152,150,405,1011,0,0,1414,0,0,212,128,22,18,0,1566,1566,ECU
Egypt,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EGY
El Salvador,1973,2370,1840,0,1072,171,1380,1891,0,0,2370,0,0,0,158,13,51,0,3442,3442,SLV
Equatorial Guinea,1973,0,45,0,0,10,0,45,0,25,55,0,0,30,10,0,0,0,55,55,GNQ
Ethiopia,1973,2187,964,0,706,1346,583,964,0,0,2187,0,0,0,1346,0,0,0,2893,2893,ETH
European Union,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gabon,1973,0,5,0,2,1,2,5,0,0,6,0,0,6,1,0,0,0,8,8,GAB
Georgia,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GEO
Ghana,1973,0,40,0,20,13,28,40,0,0,61,0,0,61,13,0,0,0,81,81,GHA
Guatemala,1973,2352,1882,0,120,274,295,1903,0,0,2352,0,0,0,256,18,21,0,2472,2472,GTM
Guinea,1973,0,90,0,27,5,2,90,0,0,70,0,0,70,5,0,0,0,97,97,GIN
Guyana,1973,0,0,0,0,10,0,0,0,7,10,0,0,3,10,0,0,0,10,10,GUY
Haiti,1973,580,310,0,30,227,73,310,0,0,580,0,0,0,227,0,0,0,610,610,HTI
Honduras,1973,689,477,0,76,98,190,477,0,0,689,0,0,0,98,0,0,0,765,765,HND
India,1973,769,822,0,736,727,691,826,0,0,1508,0,0,739,672,55,4,0,2244,2244,IND
Indonesia,1973,191,1531,0,457,985,550,1531,0,3,2609,0,0,2415,985,0,0,0,3066,3066,IDN
Iran,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRN
Jamaica,1973,31,15,6,0,16,6,17,8,0,31,0,2,0,16,0,2,0,39,39,JAM
Jordan,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR
Kazakhstan,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KAZ
Kenya,1973,1222,1224,9,352,29,330,1224,9,0,1222,0,0,0,29,0,0,0,1583,1583,KEN
"Korea, South",1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
