Country,Year,Arabica Production,Bean Exports,Bean Imports,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Soluble Exports,Soluble Imports,Total Distribution,Total Supply,id
Albania,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALB
Algeria,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DZA
Angola,1978,25,1245,0,3385,45,2708,1245,0,0,613,0,0,588,45,0,0,0,3998,3998,AGO
Argentina,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARG
Armenia,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARM
Australia,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUS
Benin,1978,0,2,0,0,1,0,2,0,0,3,0,0,3,1,0,0,0,3,3,BEN
Bolivia,1978,122,87,0,35,33,37,87,0,0,122,0,0,0,33,0,0,0,157,157,BOL
Bosnia and Herzegovina,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BIH
Brazil,1978,19100,11700,0,10130,8000,8430,13700,0,0,20000,0,0,900,7835,165,2000,0,30130,30130,BRA
Burundi,1978,367,388,0,2,1,0,388,0,0,387,0,0,20,1,0,0,0,389,389,BDI
Cameroon,1978,413,1561,0,660,28,705,1561,0,0,1634,0,0,1221,25,3,0,0,2294,2294,CMR
Canada,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAN
Central African Republic,1978,0,132,0,19,12,5,132,0,0,130,0,0,130,12,0,0,0,149,149,CAF
Chile,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHL
China,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN
Colombia,1978,12600,11686,0,5737,1630,4875,11832,0,0,12600,0,0,0,1540,90,146,0,18337,18337,COL
Congo (Brazzaville),1978,0,94,0,16,1,28,94,0,0,107,0,0,107,1,0,0,0,123,123,
Congo (Kinshasa),1978,243,1063,0,439,170,499,1063,0,0,1293,0,0,1050,170,0,0,0,1732,1732,
Costa Rica,1978,1749,1526,3,105,216,109,1532,3,0,1749,6,0,0,216,0,0,0,1857,1857,CRI
Cote d'Ivoire,1978,0,4555,0,578,18,642,4660,0,0,4742,5,0,4742,7,11,100,0,5320,5320,
Croatia,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HRV
Cuba,1978,223,148,270,103,400,48,148,270,0,223,0,0,0,400,0,0,0,596,596,CUB
Dominican Republic,1978,664,305,0,86,280,46,424,0,0,664,119,0,0,280,0,0,0,750,750,DOM
Ecuador,1978,1214,1408,0,304,203,289,1452,0,0,1640,1,0,426,166,37,43,0,1944,1944,ECU
Egypt,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EGY
El Salvador,1978,3423,3341,0,674,195,521,3381,0,0,3423,0,0,0,175,20,40,0,4097,4097,SLV
Equatorial Guinea,1978,0,0,0,1,8,3,0,0,5,10,0,0,5,8,0,0,0,11,11,GNQ
Ethiopia,1978,3142,1480,0,652,1710,604,1480,0,0,3142,0,0,0,1710,0,0,0,3794,3794,ETH
European Union,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gabon,1978,0,4,0,0,1,1,4,0,0,6,0,0,6,1,0,0,0,6,6,GAB
Georgia,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GEO
Ghana,1978,0,21,0,15,8,17,21,0,0,31,0,0,31,8,0,0,0,46,46,GHA
Guatemala,1978,2827,2558,0,141,310,92,2566,0,0,2827,0,0,0,289,21,8,0,2968,2968,GTM
Guinea,1978,0,62,0,1,6,42,62,0,0,109,0,0,109,6,0,0,0,110,110,GIN
Guyana,1978,0,0,0,0,19,0,0,0,13,19,0,0,6,19,0,0,0,19,19,GUY
Haiti,1978,443,236,0,29,215,21,236,0,0,443,0,0,0,215,0,0,0,472,472,HTI
Honduras,1978,1132,1051,0,65,108,38,1051,0,0,1132,0,0,0,108,0,0,0,1197,1197,HND
India,1978,1085,1077,0,730,808,657,1107,0,0,1842,0,0,757,776,32,30,0,2572,2572,IND
Indonesia,1978,260,3706,0,397,1050,432,3706,3,0,4788,0,0,4528,1050,0,0,3,5188,5188,IDN
Iran,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRN
Jamaica,1978,14,9,0,6,9,3,10,2,0,14,0,2,0,9,0,1,0,22,22,JAM
Jordan,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR
Kazakhstan,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KAZ
Kenya,1978,1239,1232,0,424,58,373,1232,0,0,1239,0,0,0,58,0,0,0,1663,1663,KEN
"Korea, South",1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kosovo,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Laos,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAO
Liberia,1978,0,137,0,21,6,27,137,5,5,144,0,4,139,5,1,0,1,170,170,LBR
Madagascar,1978,28,784,0,440,179,291,784,0,0,814,0,0,786,179,0,0,0,1254,1254,MDG
Malawi,1978,3,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,3,MWI
