Country,Year,Arabica Production,Bean Exports,Bean Imports,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Soluble Exports,Soluble Imports,Total Distribution,Total Supply,id
Albania,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALB
Algeria,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DZA
Angola,1962,50,2614,0,2462,64,2284,2614,0,0,2500,0,0,2450,64,0,0,0,4962,4962,AGO
Argentina,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARG
Armenia,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARM
Australia,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUS
Benin,1962,0,17,0,0,1,0,17,0,0,18,0,0,18,1,0,0,0,18,18,BEN
Bolivia,1962,38,23,0,4,12,7,23,0,0,38,0,0,0,12,0,0,0,42,42,BOL
Bosnia and Herzegovina,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BIH
Brazil,1962,28900,16864,0,67174,6741,72461,16872,0,0,28900,7,0,0,6706,35,1,0,96074,96074,BRA
Burundi,1962,192,201,0,0,1,0,201,0,0,202,0,0,10,1,0,0,0,202,202,BDI
Cameroon,1962,221,720,0,67,1,97,720,1,0,750,0,1,529,1,0,0,0,818,818,CMR
Canada,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAN
Central African Republic,1962,0,102,0,8,2,3,102,0,0,99,0,0,99,2,0,0,0,107,107,CAF
Chile,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHL
China,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN
Colombia,1962,7180,6055,0,1996,1095,2025,6056,0,0,7180,0,0,0,1073,22,1,0,9176,9176,COL
Congo (Brazzaville),1962,0,9,0,0,0,2,9,0,0,11,0,0,11,0,0,0,0,11,11,
Congo (Kinshasa),1962,130,789,0,10,75,13,789,0,0,867,0,0,737,75,0,0,0,877,877,
Costa Rica,1962,952,901,0,106,113,44,901,0,0,952,0,0,0,113,0,0,0,1058,1058,CRI
Cote d'Ivoire,1962,0,2609,0,151,6,664,2621,0,0,3140,2,0,3140,5,1,10,0,3291,3291,
Croatia,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HRV
Cuba,1962,630,18,25,98,612,123,18,25,0,630,0,0,0,612,0,0,0,753,753,CUB
Dominican Republic,1962,625,423,0,65,208,59,423,0,0,625,0,0,0,208,0,0,0,690,690,DOM
Ecuador,1962,609,565,0,126,101,86,565,0,0,626,0,0,17,93,8,0,0,752,752,ECU
