Country,Year,Arabica Production,Bean Exports,Bean Imports,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Soluble Exports,Soluble Imports,Total Distribution,Total Supply,id
Albania,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALB
Algeria,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DZA
Angola,1980,30,661,0,1916,41,1800,661,0,0,586,0,0,556,41,0,0,0,2502,2502,AGO
Argentina,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARG
Armenia,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARM
Australia,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUS
Benin,1980,0,35,0,0,1,0,35,0,0,36,0,0,36,1,0,0,0,36,36,BEN
Bolivia,1980,145,108,0,17,34,20,108,0,0,145,0,0,0,34,0,0,0,162,162,BOL
Bosnia and Herzegovina,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BIH
Brazil,1980,20250,13483,0,8430,7975,6205,15750,0,0,21500,17,0,1250,7800,175,2250,0,29930,29930,BRA
Burundi,1980,295,312,0,1,1,3,312,0,0,315,0,0,20,1,0,0,0,316,316,BDI
Cameroon,1980,425,1695,0,732,33,865,1695,1,0,1860,0,0,1435,29,4,0,1,2593,2593,CMR
Canada,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAN
Central African Republic,1980,0,273,0,23,17,10,273,0,0,277,0,0,277,17,0,0,0,300,300,CAF
Chile,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHL
China,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN
Colombia,1980,13500,9105,0,3895,1825,6339,9231,0,0,13500,0,0,0,1720,105,126,0,17395,17395,COL
Congo (Brazzaville),1980,0,34,0,6,1,11,34,0,0,40,0,0,40,1,0,0,0,46,46,
Congo (Kinshasa),1980,265,1163,0,477,180,660,1163,0,0,1526,0,0,1261,180,0,0,0,2003,2003,
Costa Rica,1980,2140,1563,1,97,208,465,1565,1,0,2140,2,0,0,208,0,0,0,2238,2238,CRI
Cote d'Ivoire,1980,0,3524,0,1320,20,3696,3694,0,0,6090,5,0,6090,8,12,165,0,7410,7410,
Croatia,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HRV
Cuba,1980,344,205,240,51,350,80,205,240,0,344,0,0,0,350,0,0,0,635,635,CUB
Dominican Republic,1980,1105,415,0,116,292,440,489,0,0,1105,74,0,0,292,0,0,0,1221,1221,DOM
Ecuador,1980,1021,860,0,305,220,564,1038,0,0,1517,0,0,496,180,40,178,0,1822,1822,ECU
Egypt,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EGY
El Salvador,1980,2940,2242,0,739,200,1192,2287,0,0,2940,0,0,0,180,20,45,0,3679,3679,SLV
Equatorial Guinea,1980,0,0,0,5,8,12,0,0,8,15,0,0,7,8,0,0,0,20,20,GNQ
Ethiopia,1980,3264,1425,0,849,1600,1088,1425,0,0,3264,0,0,0,1600,0,0,0,4113,4113,ETH
European Union,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gabon,1980,0,8,0,1,1,0,8,0,0,8,0,0,8,1,0,0,0,9,9,GAB
Georgia,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GEO
Ghana,1980,0,33,0,26,8,12,33,0,0,27,0,0,27,8,0,0,0,53,53,GHA
Guatemala,1980,2702,1859,0,279,321,788,1872,0,0,2702,0,0,0,299,22,13,0,2981,2981,GTM
Guinea,1980,0,79,0,9,6,36,79,0,0,112,0,0,112,6,0,0,0,121,121,GIN
Guyana,1980,0,4,0,0,22,0,4,0,19,26,0,0,7,22,0,0,0,26,26,GUY
Haiti,1980,465,245,0,40,225,35,245,0,0,465,0,0,0,225,0,0,0,505,505,HTI
Honduras,1980,1265,1030,0,81,116,200,1030,0,0,1265,0,0,0,116,0,0,0,1346,1346,HND
India,1980,1000,1433,0,1196,887,801,1485,0,0,1977,0,0,977,861,26,52,0,3173,3173,IND
Indonesia,1980,215,3873,0,398,1228,662,3873,0,0,5365,0,0,5150,1228,0,0,0,5763,5763,IDN
Iran,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRN
Jamaica,1980,20,11,0,9,12,7,13,3,0,20,0,3,0,12,0,2,0,32,32,JAM
Jordan,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOR
Kazakhstan,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KAZ
Kenya,1980,1568,1090,0,569,37,1010,1090,0,0,1568,0,0,0,37,0,0,0,2137,2137,KEN
"Korea, South",1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kosovo,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Laos,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAO
Liberia,1980,0,138,0,15,6,23,138,5,5,147,0,4,142,5,1,0,1,167,167,LBR
Madagascar,1980,60,1075,0,421,193,303,1075,0,0,1150,0,0,1090,193,0,0,0,1571,1571,MDG
Malawi,1980,7,6,0,0,0,1,6,0,0,7,0,0,0,0,0,0,0,7,7,MWI
Malaysia,1980,0,39,51,18,161,46,41,142,83,88,1,5,5,161,0,1,86,248,248,MYS
Mexico,1980,3787,1838,0,520,1500,930,1952,0,0,3862,78,0,75,860,640,36,0,4382,4382,MEX
Montenegro,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MNE
Morocco,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAR
New Caledonia,1980,1,0,0,0,10,0,0,0,0,10,0,0,9,10,0,0,0,10,10,NCL
New Zealand,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NZL
Nicaragua,1980,971,816,0,120,84,165,842,0,0,971,0,0,0,73,11,26,0,1091,1091,NIC
Nigeria,1980,0,40,0,27,180,24,40,165,0,52,0,158,52,173,7,0,7,244,244,NGA
North Macedonia,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MKD
Norway,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOR
Panama,1980,142,66,0,14,65,25,66,0,0,142,0,0,0,65,0,0,0,156,156,PAN
Papua New Guinea,1980,843,877,9,0,12,0,877,9,1,880,0,0,36,12,0,0,0,889,889,PNG
Paraguay,1980,130,92,0,42,22,58,92,0,0,130,0,0,0,22,0,0,0,172,172,PRY
Peru,1980,1170,909,0,170,241,190,909,0,0,1170,0,0,0,192,49,0,0,1340,1340,PER
Philippines,1980,73,304,0,230,432,428,314,0,320,944,0,0,551,46,386,10,0,1174,1174,PHL
Russia,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rwanda,1980,506,403,0,10,2,111,403,0,0,506,0,0,0,2,0,0,0,516,516,RWA
Saudi Arabia,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAU
Senegal,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEN
Serbia,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SRB
Sierra Leone,1980,0,173,0,72,5,41,173,0,0,147,0,0,147,5,0,0,0,219,219,SLE
Singapore,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SGP
South Africa,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAF
Sri Lanka,1980,11,34,0,30,12,34,34,0,0,50,0,0,39,12,0,0,0,80,80,LKA
Switzerland,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHE
Taiwan,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TWN
Tanzania,1980,819,775,0,161,19,422,780,0,0,1060,0,0,241,16,3,5,0,1221,1221,TZA
Thailand,1980,3,90,0,14,118,12,90,5,0,201,0,5,198,118,0,0,0,220,220,THA
Togo,1980,0,204,0,92,1,52,204,0,0,165,0,0,165,1,0,0,0,257,257,TGO
Trinidad and Tobago,1980,1,23,0,7,17,7,30,1,0,46,0,0,45,17,0,7,1,54,54,TTO
Turkey,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Uganda,1980,170,3000,0,1718,43,808,3000,0,0,2133,0,0,1963,43,0,0,0,3851,3851,UGA
Ukraine,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UKR
United Kingdom,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GBR
United States,1980,236,0,99,35,297,72,1,99,0,236,1,0,0,232,65,0,0,370,370,USA
Uruguay,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,URY
