Country,Year,Arabica Production,Bean Exports,Bean Imports,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Soluble Exports,Soluble Imports,Total Distribution,Total Supply,id
Albania,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALB
Algeria,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DZA
Angola,1984,20,340,0,743,45,588,340,0,0,230,0,0,210,45,0,0,0,973,973,AGO
Argentina,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARG
Armenia,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARM
Australia,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUS
Benin,1984,0,54,0,0,1,0,54,0,0,55,0,0,55,1,0,0,0,55,55,BEN
Bolivia,1984,140,95,0,27,37,35,95,0,0,140,0,0,0,37,0,0,0,167,167,BOL
Bosnia and Herzegovina,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BIH
Brazil,1984,25000,19137,0,9659,9500,5519,21640,0,0,27000,3,0,2000,9300,200,2500,0,36659,36659,BRA
Burundi,1984,300,431,0,228,1,121,431,0,0,325,0,0,25,1,0,0,0,553,553,BDI
Cameroon,1984,333,1472,0,447,55,1220,1498,10,0,2316,26,0,1983,47,8,0,10,2773,2773,CMR
Canada,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAN
Central African Republic,1984,0,239,0,7,15,28,239,0,0,275,0,0,275,15,0,0,0,282,282,CAF
Chile,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHL
China,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN
Colombia,1984,11000,9638,0,12886,1865,12173,9848,0,0,11000,0,0,0,1740,125,210,0,23886,23886,COL
Congo (Brazzaville),1984,0,8,0,5,1,21,8,0,0,25,0,0,25,1,0,0,0,30,30,
Congo (Kinshasa),1984,200,998,0,784,200,1126,998,0,0,1540,0,0,1340,200,0,0,0,2324,2324,
Costa Rica,1984,2516,2051,0,1015,235,1213,2083,0,0,2516,32,0,0,235,0,0,0,3531,3531,CRI
Cote d'Ivoire,1984,0,3603,0,324,27,1050,3856,0,0,4609,4,0,4609,17,10,249,0,4933,4933,
Croatia,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HRV
Cuba,1984,400,252,150,128,300,126,252,150,0,400,0,0,0,300,0,0,0,678,678,CUB
Dominican Republic,1984,900,542,0,733,307,797,542,0,0,913,0,0,13,307,0,0,0,1646,1646,DOM
